INSURANCE_FLAG,DTI,SEX,FULL_AGE_CHILD_NUMBER,DEPENDANT_NUMBER,EDUCATION,EMPL_SIZE,BANKACCOUNT_FLAG,Period_at_work,age,max90days,max60days,max30days,max21days,max14days,avg_num_delay,if_zalog,num_AccountActive180,num_AccountActive90,num_AccountActive60,Active_to_All_prc,numAccountActiveAll,numAccountClosed,sum_of_paym_months,all_credits,Active_not_cc,own_closed,min_MnthAfterLoan,max_MnthAfterLoan,dlq_exist,thirty_in_a_year,sixty_in_a_year,ninety_in_a_year,thirty_vintage,sixty_vintage,ninety_vintage,FAMILY_STATUS_вдовец / вдова,FAMILY_STATUS_гражданский брак,FAMILY_STATUS_женат / замужем,FAMILY_STATUS_повторный брак,FAMILY_STATUS_разведен / разведена,FAMILY_STATUS_холост / не замужем,INCOME_BASE_TYPE_2НДФЛ,INCOME_BASE_TYPE_Поступление зарплаты на счет,INCOME_BASE_TYPE_Свободная форма с печатью работодателя,INCOME_BASE_TYPE_Форма банка (без печати работодателя),CREDIT_PURPOSE_Другое,CREDIT_PURPOSE_Лечение,CREDIT_PURPOSE_Обучение,CREDIT_PURPOSE_Отпуск,CREDIT_PURPOSE_Покупка автомобиля,CREDIT_PURPOSE_Покупка бытовой техники,CREDIT_PURPOSE_Покупка земли,CREDIT_PURPOSE_Покупка мебели,CREDIT_PURPOSE_Покупка недвижимости/ строительство,CREDIT_PURPOSE_Ремонт,EMPL_TYPE_вспомогательный персонал,EMPL_TYPE_менеджер высшего звена,EMPL_TYPE_менеджер по продажам,EMPL_TYPE_менеджер среднего звена,EMPL_TYPE_рабочий,EMPL_TYPE_специалист,EMPL_TYPE_торговый представитель,EMPL_PROPERTY_Другое,EMPL_PROPERTY_Информационные технологии,EMPL_PROPERTY_Сельское и лесное хозяйство,EMPL_PROPERTY_Торговля,EMPL_PROPERTY_Юридические услуги,EMPL_FORM_Государственное предприятие,EMPL_FORM_ЗАО,EMPL_FORM_Иная форма,EMPL_FORM_Индивидуальный предприниматель,EMPL_FORM_ОАО,EMPL_FORM_ООО,CLUSTER
0,0.3,0,1.0,0.0,2.0,1,0.0,2.5,1.6923076923076923,0.5,-0.5,0.0,0.0,0.0,3.8473422231496857,1.0,0.0,0.0,0.0,-0.1904761905714287,0.5,0.75,1.5421686746987953,0.8,0.0,1.0,0.6153846153846154,0.8461538461538461,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
1,-0.6999999999999997,1,0.0,0.0,2.0,1,0.0,-0.46551724137931033,-0.6923076923076923,3.0,1.0,1.0,0.0,0.0,0.024727440358325022,1.0,0.0,0.0,0.0,1.1020408162857143,4.5,0.0,2.0602409638554215,1.8,1.0,0.0,-0.07692307692307693,-0.5192307692307693,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
1,-0.7499999999999998,1,0.0,0.0,0.0,1,0.0,-0.5344827586206896,-0.7692307692307693,0.0,0.0,1.0,0.0,0.0,-0.20378820806915948,0.0,0.0,0.0,0.0,-1.142857142857143,-1.0,-0.5,-0.6867469879518072,-0.8,-0.5,0.0,1.4615384615384615,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1,-0.6999999999999997,1,1.0,0.0,0.0,1,0.0,-0.39655172413793105,-0.07692307692307693,-0.5,-0.5,0.0,0.0,0.0,0.2670328251668806,0.0,0.0,0.0,0.0,-1.142857142857143,-1.0,0.0,-0.43373493975903615,-0.4,-0.5,3.0,0.6923076923076923,-0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3
1,-1.1999999999999997,1,1.0,0.0,-2.0,1,0.0,0.6896551724137931,0.7692307692307693,0.5,0.5,1.0,0.0,0.0,0.3147109041881065,1.0,0.0,0.0,0.0,-0.5714285714285715,-0.5,0.25,0.14457831325301204,0.0,0.0,0.0,0.23076923076923078,-0.21153846153846154,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4
1,0.10000000000000009,1,2.0,0.0,0.0,1,0.0,0.5689655172413793,0.38461538461538464,1.0,1.0,3.0,2.0,2.0,0.32135832984204277,0.0,0.0,0.0,0.0,0.28571428571428564,0.0,-0.25,-0.46987951807228917,-0.2,0.5,0.0,-0.15384615384615385,0.07692307692307693,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5
0,0.7000000000000003,1,0.0,0.0,-2.0,1,0.0,-0.3793103448275862,0.7692307692307693,-0.5,-0.5,0.0,0.0,0.0,0.3898557041741064,0.0,0.0,0.0,0.0,0.28571428571428564,-0.5,-0.5,-0.24096385542168675,-0.6,-0.5,1.0,2.230769230769231,-0.4230769230769231,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4
1,-0.34999999999999976,0,0.0,0.0,-2.0,1,0.0,1.2241379310344827,1.3846153846153846,0.0,0.0,1.0,0.0,0.0,-0.20378820806915948,0.0,0.0,0.0,0.0,-1.142857142857143,-1.0,0.0,-0.39759036144578314,-0.4,-0.5,1.0,1.7692307692307692,-0.28846153846153844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,-0.44999999999999984,1,1.0,0.0,0.0,0,0.0,-0.10344827586206896,0.5384615384615384,-0.5,-0.5,0.0,0.0,0.0,4.785103897308429,0.0,0.0,0.0,0.0,-0.1904761905714287,-0.5,-0.25,-0.37349397590361444,-0.4,-0.5,2.0,-0.15384615384615385,0.17307692307692307,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1,-1.2499999999999998,1,0.0,0.0,0.0,1,0.0,-0.46551724137931033,0.07692307692307693,0.0,-0.5,0.0,0.0,0.0,0.41683951855317036,0.0,0.0,0.0,0.0,-1.142857142857143,-1.0,0.0,-0.5180722891566265,-0.4,-0.5,0.0,-0.15384615384615385,-0.6346153846153846,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
