INCOME_BASE_TYPE,CREDIT_PURPOSE,INSURANCE_FLAG,DTI,SEX,FULL_AGE_CHILD_NUMBER,DEPENDANT_NUMBER,EDUCATION,EMPL_TYPE,EMPL_SIZE,BANKACCOUNT_FLAG,Period_at_work,age,EMPL_PROPERTY,EMPL_FORM,FAMILY_STATUS,max90days,max60days,max30days,max21days,max14days,avg_num_delay,if_zalog,num_AccountActive180,num_AccountActive90,num_AccountActive60,Active_to_All_prc,numAccountActiveAll,numAccountClosed,sum_of_paym_months,all_credits,Active_not_cc,own_closed,min_MnthAfterLoan,max_MnthAfterLoan,dlq_exist,thirty_in_a_year,sixty_in_a_year,ninety_in_a_year,thirty_vintage,sixty_vintage,ninety_vintage
Поступление зарплаты на счет,Ремонт,1,0.59,женский,1,0,Высшее/Второе высшее/Ученая степень,менеджер высшего звена,>250,0.0,9.0,27.0,Другое,ООО,холост / не замужем,4.0,3.0,2.0,2.0,1.0,0.226993865,1.0,2.0,0.0,0.0,0.5,6.0,6.0,126.0,12.0,4.0,0.0,5.0,72.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2НДФЛ,Ремонт,1,0.58,женский,0,0,высшее,вспомогательный персонал,>250,0.0,22.0,26.0,Информационные технологии,ООО,женат / замужем,9.0,6.0,1.0,1.0,0.0,0.3620689655,0.0,2.0,2.0,2.0,0.2857142857,2.0,5.0,37.0,7.0,1.0,0.0,1.0,89.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Ремонт,1,0.18,женский,0,0,среднее-специальное,вспомогательный персонал,>250,0.0,359.0,51.0,Другое,Государственное предприятие,холост / не замужем,0.0,0.0,0.0,0.0,0.0,0.0952380952,1.0,1.0,0.0,0.0,0.3333333333,1.0,2.0,19.0,3.0,0.0,2.0,4.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Ремонт,0,0.39,женский,0,0,высшее,менеджер высшего звена,>250,0.0,45.0,50.0,Другое,ООО,женат / замужем,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,29.0,2.0,0.0,0.0,12.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Поступление зарплаты на счет,Покупка автомобиля,0,0.14,женский,1,0,высшее,специалист,<50,0.0,51.0,32.0,Информационные технологии,ЗАО,женат / замужем,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.75,3.0,1.0,50.0,4.0,1.0,0.0,1.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Поступление зарплаты на счет,Покупка автомобиля,1,0.26,мужской,1,0,Высшее/Второе высшее/Ученая степень,специалист,>250,0.0,15.0,33.0,Торговля,ООО,холост / не замужем,2.0,2.0,2.0,2.0,0.0,0.2784810127,0.0,0.0,0.0,0.0,0.5,1.0,1.0,57.0,2.0,0.0,0.0,50.0,75.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Ремонт,0,0.51,мужской,1,0,Высшее/Второе высшее/Ученая степень,специалист,>250,0.0,13.0,28.0,Торговля,ЗАО,женат / замужем,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,4.0,4.0,148.0,8.0,2.0,1.0,3.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Свободная форма с печатью работодателя,Ремонт,1,0.2,мужской,1,0,среднее-специальное,рабочий,<50,0.0,18.0,35.0,Торговля,ООО,женат / замужем,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,1.0,0.0,0.0,81.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2НДФЛ,Ремонт,0,0.31,женский,0,0,высшее,специалист,>250,0.0,65.0,29.0,Другое,ЗАО,холост / не замужем,3.0,0.0,0.0,0.0,0.0,0.138047138,0.0,0.0,0.0,0.0,0.2,2.0,8.0,256.0,10.0,0.0,1.0,13.0,101.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Ремонт,0,0.11,мужской,0,0,высшее,специалист,<50,0.0,66.0,49.0,Торговля,ЗАО,холост / не замужем,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,2.0,2.0,102.0,4.0,1.0,1.0,18.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Свободная форма с печатью работодателя,Ремонт,0,0.47,мужской,1,0,Высшее/Второе высшее/Ученая степень,менеджер высшего звена,>250,0.0,184.0,56.0,Торговля,ООО,женат / замужем,2.0,0.0,0.0,0.0,0.0,0.2967032967,1.0,0.0,0.0,0.0,0.3333333333,3.0,6.0,192.0,9.0,1.0,1.0,17.0,111.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Ремонт,1,0.27,женский,0,0,Высшее/Второе высшее/Ученая степень,менеджер высшего звена,>250,0.0,12.0,25.0,Торговля,ООО,женат / замужем,7.0,3.0,1.0,0.0,0.0,0.0167364017,1.0,0.0,0.0,0.0,0.7857142857,11.0,3.0,235.0,14.0,3.0,0.0,8.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Поступление зарплаты на счет,Покупка автомобиля,1,0.26,женский,0,0,высшее,специалист,>250,0.0,8.0,24.0,Торговля,ООО,разведен / разведена,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Покупка земли,1,0.27,женский,1,0,высшее,специалист,>250,0.0,16.0,33.0,Торговля,ООО,женат / замужем,0.0,0.0,0.0,0.0,0.0,0.0344827586,0.0,0.0,0.0,0.0,0.0,0.0,3.0,28.0,3.0,0.0,3.0,18.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Поступление зарплаты на счет,Ремонт,1,0.17,женский,1,0,среднее-специальное,специалист,>250,0.0,79.0,44.0,Торговля,ООО,холост / не замужем,2.0,2.0,1.0,0.0,0.0,0.0379746835,1.0,0.0,0.0,0.0,0.2,1.0,4.0,76.0,5.0,1.0,0.0,12.0,56.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2НДФЛ,Покупка недвижимости/ строительство,1,0.43,женский,2,0,высшее,специалист,>250,0.0,72.0,39.0,Торговля,ООО,холост / не замужем,3.0,3.0,3.0,2.0,2.0,0.0384615385,0.0,0.0,0.0,0.0,0.5,2.0,2.0,25.0,4.0,2.0,0.0,7.0,71.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Поступление зарплаты на счет,Покупка автомобиля,0,0.55,женский,0,0,среднее-специальное,вспомогательный персонал,>250,0.0,17.0,44.0,Торговля,ООО,холост / не замужем,0.0,0.0,0.0,0.0,0.0,0.0434782609,0.0,0.0,0.0,0.0,0.5,1.0,1.0,44.0,2.0,0.0,1.0,38.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Ремонт,1,0.34,мужской,0,0,среднее-специальное,вспомогательный персонал,>250,0.0,110.0,52.0,Другое,ОАО,женат / замужем,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,31.0,3.0,0.0,1.0,32.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Ремонт,1,0.32,женский,1,0,высшее,менеджер среднего звена,<50,0.0,33.0,41.0,Другое,ООО,женат / замужем,0.0,0.0,0.0,0.0,0.0,0.3653846154,0.0,0.0,0.0,0.0,0.3333333333,1.0,2.0,33.0,3.0,0.0,2.0,7.0,76.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Поступление зарплаты на счет,Ремонт,1,0.16,женский,0,0,высшее,вспомогательный персонал,>250,0.0,12.0,35.0,Торговля,ООО,женат / замужем,1.0,0.0,0.0,0.0,0.0,0.0454545455,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0,3.0,0.0,0.0,7.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Поступление зарплаты на счет,Покупка мебели,1,0.57,мужской,0,0,Высшее/Второе высшее/Ученая степень,менеджер среднего звена,>250,0.0,48.0,30.0,Другое,ЗАО,холост / не замужем,0.0,0.0,0.0,0.0,0.0,0.7184466019,0.0,1.0,0.0,0.0,0.6666666667,2.0,1.0,29.0,3.0,1.0,1.0,3.0,102.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Поступление зарплаты на счет,Покупка бытовой техники,0,0.29,мужской,2,0,среднее,рабочий,>250,0.0,51.0,31.0,Торговля,ООО,женат / замужем,0.0,0.0,0.0,0.0,0.0,0.0526315789,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,1.0,0.0,1.0,33.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Поступление зарплаты на счет,Покупка автомобиля,0,0.29,женский,2,0,Высшее/Второе высшее/Ученая степень,торговый представитель,>250,0.0,12.0,28.0,Другое,Иная форма,женат / замужем,1.0,1.0,1.0,0.0,0.0,0.0884955752,0.0,2.0,0.0,0.0,0.3,3.0,7.0,103.0,10.0,2.0,0.0,5.0,85.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Покупка мебели,1,0.47,мужской,2,0,высшее,специалист,<50,0.0,24.0,36.0,Другое,Индивидуальный предприниматель,женат / замужем,0.0,0.0,0.0,0.0,0.0,0.0240963855,0.0,0.0,0.0,0.0,0.25,1.0,3.0,81.0,4.0,0.0,1.0,32.0,69.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Свободная форма с печатью работодателя,Ремонт,0,0.44,женский,0,0,высшее,вспомогательный персонал,>250,2.0,54.0,29.0,Торговля,ООО,холост / не замужем,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8333333333,5.0,1.0,62.0,6.0,3.0,0.0,7.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Ремонт,1,0.28,мужской,0,0,Высшее/Второе высшее/Ученая степень,специалист,>250,0.0,7.0,35.0,Торговля,ООО,женат / замужем,4.0,3.0,1.0,0.0,0.0,0.0672268908,0.0,0.0,0.0,0.0,0.5,2.0,2.0,111.0,4.0,0.0,1.0,16.0,104.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2НДФЛ,Ремонт,1,0.59,мужской,0,0,высшее,менеджер среднего звена,<50,0.0,22.0,26.0,Торговля,ООО,холост / не замужем,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,1.0,7.0,86.0,8.0,1.0,1.0,3.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Свободная форма с печатью работодателя,Другое,1,0.25,мужской,0,0,среднее,вспомогательный персонал,<50,0.0,62.0,38.0,Торговля,Индивидуальный предприниматель,холост / не замужем,12.0,10.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,0.0,6.0,3.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Поступление зарплаты на счет,Покупка автомобиля,1,0.5,женский,0,0,среднее-специальное,специалист,>250,0.0,114.0,47.0,Торговля,ООО,холост / не замужем,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,2.0,0.0,0.0,84.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Поступление зарплаты на счет,Ремонт,0,0.33,мужской,0,0,Высшее/Второе высшее/Ученая степень,специалист,>250,0.0,46.0,28.0,Другое,ООО,холост / не замужем,2.0,0.0,0.0,0.0,0.0,0.0236220472,0.0,1.0,1.0,0.0,0.375,3.0,5.0,124.0,8.0,1.0,2.0,2.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Ремонт,0,0.2,женский,0,0,Высшее/Второе высшее/Ученая степень,менеджер среднего звена,>250,0.0,25.0,30.0,Торговля,ОАО,холост / не замужем,1.0,1.0,0.0,0.0,0.0,0.0317460317,0.0,1.0,1.0,1.0,0.4,2.0,3.0,61.0,5.0,1.0,1.0,1.0,62.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Поступление зарплаты на счет,Ремонт,0,0.09,женский,1,0,среднее-специальное,специалист,>250,0.0,9.0,35.0,Другое,ЗАО,холост / не замужем,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,3.0,9.0,84.0,12.0,2.0,0.0,13.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Поступление зарплаты на счет,Покупка недвижимости/ строительство,0,0.3,женский,0,0,высшее,специалист,>250,0.0,165.0,40.0,Информационные технологии,ОАО,холост / не замужем,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.5,1.0,1.0,23.0,2.0,0.0,1.0,16.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Поступление зарплаты на счет,Ремонт,0,0.31,мужской,0,0,незаконченное высшее,специалист,>250,0.0,9.0,23.0,Информационные технологии,ООО,холост / не замужем,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,9.0,2.0,1.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Ремонт,0,0.31,мужской,0,0,Высшее/Второе высшее/Ученая степень,менеджер среднего звена,<50,0.0,51.0,37.0,Торговля,ООО,холост / не замужем,2.0,1.0,1.0,1.0,1.0,0.2487562189,1.0,1.0,1.0,0.0,0.3571428571,6.0,8.0,151.0,14.0,4.0,2.0,2.0,106.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Покупка земли,0,0.2,мужской,3,0,Высшее/Второе высшее/Ученая степень,менеджер среднего звена,<50,0.0,6.0,46.0,Торговля,ООО,женат / замужем,0.0,0.0,0.0,0.0,0.0,0.096969697,1.0,0.0,0.0,0.0,0.5,3.0,3.0,149.0,6.0,2.0,1.0,21.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Поступление зарплаты на счет,Ремонт,1,0.44,мужской,2,0,высшее,специалист,>250,0.0,128.0,35.0,Другое,ОАО,женат / замужем,1.0,1.0,1.0,1.0,1.0,0.1844660194,0.0,0.0,0.0,0.0,0.0,0.0,8.0,84.0,8.0,0.0,4.0,23.0,93.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Ремонт,1,0.34,женский,1,0,высшее,специалист,>250,0.0,32.0,44.0,Торговля,ООО,разведен / разведена,2.0,1.0,1.0,0.0,0.0,0.3993993994,0.0,1.0,0.0,0.0,0.6,6.0,4.0,200.0,10.0,2.0,0.0,4.0,94.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Форма банка (без печати работодателя),Лечение,0,0.54,женский,1,0,среднее-специальное,рабочий,>250,0.0,115.0,56.0,Другое,ОАО,холост / не замужем,2.0,1.0,1.0,1.0,1.0,0.1052631579,1.0,0.0,0.0,0.0,0.4375,7.0,9.0,374.0,16.0,2.0,2.0,17.0,99.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Поступление зарплаты на счет,Ремонт,1,0.45,женский,1,0,среднее,вспомогательный персонал,>250,0.0,11.0,27.0,Торговля,ООО,женат / замужем,0.0,0.0,0.0,0.0,0.0,0.4150943396,0.0,0.0,0.0,0.0,0.5,2.0,2.0,31.0,4.0,0.0,0.0,14.0,20.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
Поступление зарплаты на счет,Ремонт,1,0.42,женский,0,0,высшее,специалист,>250,1.0,33.0,25.0,Другое,ЗАО,женат / замужем,0.0,0.0,0.0,0.0,0.0,0.2222222222,0.0,0.0,0.0,0.0,0.4,2.0,3.0,42.0,5.0,1.0,0.0,8.0,66.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Поступление зарплаты на счет,Обучение,1,0.52,мужской,1,0,среднее-специальное,специалист,>250,0.0,39.0,49.0,Другое,ЗАО,женат / замужем,0.0,0.0,0.0,0.0,0.0,0.1333333333,1.0,2.0,0.0,0.0,0.7142857143,5.0,2.0,39.0,7.0,4.0,1.0,3.0,96.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Поступление зарплаты на счет,Ремонт,1,0.59,мужской,0,0,высшее,специалист,>250,1.0,45.0,25.0,Торговля,ЗАО,женат / замужем,1.0,1.0,1.0,0.0,0.0,0.2045454545,0.0,0.0,0.0,0.0,0.6,3.0,2.0,35.0,5.0,1.0,1.0,5.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Свободная форма с печатью работодателя,Покупка недвижимости/ строительство,0,0.22,женский,2,0,высшее,специалист,<50,0.0,32.0,30.0,Торговля,ООО,женат / замужем,0.0,0.0,0.0,0.0,0.0,0.0705882353,0.0,0.0,0.0,0.0,0.2222222222,2.0,7.0,79.0,9.0,0.0,0.0,12.0,57.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Ремонт,0,0.35,женский,0,0,среднее-специальное,специалист,>250,0.0,88.0,32.0,Торговля,ЗАО,женат / замужем,1.0,1.0,1.0,1.0,1.0,0.0606060606,0.0,0.0,0.0,0.0,0.4,2.0,3.0,124.0,5.0,1.0,2.0,34.0,78.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Поступление зарплаты на счет,Ремонт,0,0.47,женский,0,0,высшее,специалист,>250,0.0,23.0,45.0,Торговля,Иная форма,холост / не замужем,1.0,0.0,0.0,0.0,0.0,0.0319148936,0.0,1.0,1.0,0.0,0.1428571429,1.0,6.0,91.0,7.0,1.0,3.0,2.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2НДФЛ,Ремонт,0,0.48,женский,1,0,среднее-специальное,специалист,>250,1.0,32.0,43.0,Другое,ООО,женат / замужем,3.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,20.0,3.0,1.0,0.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Поступление зарплаты на счет,Ремонт,1,0.43,женский,2,0,высшее,вспомогательный персонал,>250,0.0,24.0,41.0,Торговля,ООО,холост / не замужем,1.0,0.0,0.0,0.0,0.0,0.303030303,0.0,0.0,0.0,0.0,1.0,2.0,0.0,23.0,2.0,0.0,0.0,11.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2НДФЛ,Ремонт,0,0.11,женский,1,0,высшее,специалист,>250,0.0,169.0,43.0,Другое,ОАО,разведен / разведена,0.0,0.0,0.0,0.0,0.0,0.2212389381,1.0,0.0,0.0,0.0,0.3333333333,1.0,2.0,88.0,3.0,0.0,1.0,62.0,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2НДФЛ,Ремонт,0,0.35,мужской,1,0,высшее,специалист,>250,0.0,35.0,31.0,Другое,Государственное предприятие,женат / замужем,4.0,4.0,4.0,4.0,3.0,0.2,0.0,1.0,0.0,0.0,0.6666666667,2.0,1.0,4.0,3.0,0.0,0.0,3.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Ремонт,1,0.36,женский,1,0,высшее,менеджер среднего звена,>250,0.0,33.0,29.0,Торговля,ООО,женат / замужем,1.0,1.0,1.0,1.0,0.0,0.1428571429,0.0,0.0,0.0,0.0,0.5,2.0,2.0,96.0,4.0,0.0,2.0,15.0,62.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Ремонт,1,0.42,женский,0,1,Высшее/Второе высшее/Ученая степень,менеджер высшего звена,<50,0.0,98.0,38.0,Другое,Иная форма,женат / замужем,1.0,1.0,0.0,0.0,0.0,0.2837837838,1.0,2.0,2.0,1.0,0.5555555556,5.0,4.0,106.0,9.0,2.0,1.0,0.0,52.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2НДФЛ,Ремонт,1,0.25,женский,0,0,Высшее/Второе высшее/Ученая степень,менеджер среднего звена,<50,0.0,85.0,46.0,Торговля,ООО,женат / замужем,1.0,1.0,1.0,1.0,1.0,0.04,0.0,0.0,0.0,0.0,0.6666666667,2.0,1.0,24.0,3.0,0.0,0.0,22.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Другое,0,0.49,мужской,0,0,высшее,менеджер высшего звена,<50,0.0,85.0,29.0,Другое,ООО,холост / не замужем,1.0,1.0,1.0,1.0,1.0,0.3333333333,0.0,0.0,0.0,0.0,0.8571428571,6.0,1.0,108.0,7.0,3.0,0.0,9.0,50.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Поступление зарплаты на счет,Ремонт,1,0.33,мужской,0,0,Высшее/Второе высшее/Ученая степень,специалист,>250,0.0,86.0,29.0,Торговля,ООО,женат / замужем,4.0,3.0,2.0,2.0,1.0,0.045112782,1.0,1.0,0.0,0.0,0.2727272727,3.0,8.0,127.0,11.0,1.0,2.0,4.0,94.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2НДФЛ,Ремонт,1,0.45,женский,0,0,высшее,специалист,<50,2.0,77.0,30.0,Другое,Государственное предприятие,холост / не замужем,3.0,3.0,3.0,3.0,3.0,0.2083333333,0.0,1.0,0.0,0.0,0.75,3.0,1.0,19.0,4.0,1.0,0.0,4.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2НДФЛ,Ремонт,1,0.59,мужской,0,0,Высшее/Второе высшее/Ученая степень,специалист,>250,0.0,18.0,51.0,Торговля,ОАО,женат / замужем,5.0,5.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,15.0,3.0,1.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2НДФЛ,Покупка мебели,1,0.38,мужской,0,0,среднее,рабочий,>250,0.0,89.0,28.0,Торговля,ООО,гражданский брак,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333,1.0,2.0,28.0,3.0,1.0,1.0,9.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Ремонт,1,0.27,мужской,0,0,высшее,рабочий,>250,0.0,54.0,35.0,Другое,ОАО,женат / замужем,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,21.0,2.0,0.0,1.0,17.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Поступление зарплаты на счет,Ремонт,1,0.53,женский,0,0,высшее,специалист,>250,0.0,155.0,36.0,Информационные технологии,ООО,холост / не замужем,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666667,2.0,1.0,96.0,3.0,0.0,0.0,7.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Поступление зарплаты на счет,Ремонт,1,0.38,женский,0,0,высшее,специалист,>250,0.0,10.0,23.0,Другое,ООО,холост / не замужем,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,19.0,1.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Ремонт,1,0.37,мужской,2,0,второе высшее,менеджер среднего звена,<50,0.0,242.0,46.0,Торговля,ООО,женат / замужем,2.0,1.0,1.0,1.0,1.0,0.0197368421,1.0,1.0,0.0,0.0,0.8571428571,6.0,1.0,149.0,7.0,4.0,1.0,3.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Поступление зарплаты на счет,Другое,0,0.44,женский,0,0,Высшее/Второе высшее/Ученая степень,специалист,>250,0.0,22.0,35.0,Торговля,Иная форма,холост / не замужем,3.0,2.0,1.0,1.0,1.0,0.3564356436,1.0,1.0,0.0,0.0,0.6666666667,4.0,2.0,65.0,6.0,0.0,0.0,5.0,89.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Ремонт,1,0.4,женский,1,0,высшее,торговый представитель,>250,0.0,17.0,32.0,Торговля,ООО,женат / замужем,6.0,1.0,1.0,0.0,0.0,0.0541310541,1.0,0.0,0.0,0.0,0.375,6.0,10.0,332.0,16.0,1.0,1.0,10.0,66.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Поступление зарплаты на счет,Отпуск,1,0.42,мужской,1,0,среднее-специальное,рабочий,>250,0.0,21.0,45.0,Торговля,ООО,женат / замужем,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333,2.0,4.0,35.0,6.0,1.0,0.0,12.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Поступление зарплаты на счет,Ремонт,1,0.51,женский,0,0,среднее-специальное,вспомогательный персонал,>250,0.0,89.0,51.0,Другое,ООО,женат / замужем,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,1.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2НДФЛ,Ремонт,0,0.56,мужской,0,0,высшее,специалист,>250,1.0,9.0,30.0,Другое,ООО,женат / замужем,1.0,1.0,0.0,0.0,0.0,0.0434782609,1.0,0.0,0.0,0.0,0.4285714286,3.0,4.0,110.0,7.0,2.0,1.0,11.0,62.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Поступление зарплаты на счет,Ремонт,1,0.59,женский,0,0,высшее,специалист,>250,1.0,46.0,26.0,Другое,ООО,холост / не замужем,0.0,0.0,0.0,0.0,0.0,0.1428571429,0.0,0.0,0.0,0.0,0.5,2.0,2.0,48.0,4.0,1.0,2.0,13.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Обучение,1,0.38,мужской,1,0,среднее-специальное,специалист,>250,0.0,44.0,42.0,Другое,ОАО,женат / замужем,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.5,2.0,2.0,101.0,4.0,0.0,2.0,7.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Свободная форма с печатью работодателя,Ремонт,0,0.47,мужской,1,0,высшее,вспомогательный персонал,<50,0.0,12.0,35.0,Торговля,ООО,женат / замужем,1.0,1.0,0.0,0.0,0.0,0.130952381,0.0,2.0,0.0,0.0,0.2857142857,2.0,5.0,73.0,7.0,1.0,0.0,5.0,86.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Покупка бытовой техники,0,0.2,мужской,0,0,высшее,специалист,>250,0.0,46.0,26.0,Торговля,ООО,женат / замужем,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2857142857,2.0,5.0,68.0,7.0,1.0,3.0,8.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Поступление зарплаты на счет,Покупка автомобиля,1,0.47,женский,0,0,среднее-специальное,специалист,>250,0.0,14.0,29.0,Торговля,ООО,холост / не замужем,1.0,1.0,0.0,0.0,0.0,0.7959183673,0.0,2.0,2.0,0.0,0.6666666667,2.0,1.0,10.0,3.0,1.0,0.0,2.0,47.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
