INCOME_BASE_TYPE,CREDIT_PURPOSE,INSURANCE_FLAG,DTI,SEX,FULL_AGE_CHILD_NUMBER,DEPENDANT_NUMBER,EDUCATION,EMPL_TYPE,EMPL_SIZE,BANKACCOUNT_FLAG,Period_at_work,age,EMPL_PROPERTY,EMPL_FORM,FAMILY_STATUS,max90days,max60days,max30days,max21days,max14days,avg_num_delay,if_zalog,num_AccountActive180,num_AccountActive90,num_AccountActive60,Active_to_All_prc,numAccountActiveAll,numAccountClosed,sum_of_paym_months,all_credits,Active_not_cc,own_closed,min_MnthAfterLoan,max_MnthAfterLoan,dlq_exist,thirty_in_a_year,sixty_in_a_year,ninety_in_a_year,thirty_vintage,sixty_vintage,ninety_vintage
2НДФЛ,Ремонт,1,0.42,женский,0,0,Высшее/Второе высшее/Ученая степень,специалист,>250,0.0,90.0,25.0,Торговля,ООО,женат / замужем,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,3.0,36.0,4.0,0.0,0.0,11.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2НДФЛ,Ремонт,1,0.49,женский,0,0,среднее-специальное,рабочий,>250,2.0,157.0,52.0,Торговля,ООО,холост / не замужем,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,2.0,65.0,4.0,2.0,0.0,32.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2НДФЛ,Ремонт,1,0.59,женский,0,0,Высшее/Второе высшее/Ученая степень,менеджер среднего звена,>250,0.0,78.0,38.0,Торговля,ЗАО,женат / замужем,3.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.625,5.0,3.0,102.0,8.0,3.0,0.0,5.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Свободная форма с печатью работодателя,Ремонт,0,0.42,мужской,0,0,высшее,вспомогательный персонал,>250,0.0,37.0,53.0,Торговля,ООО,женат / замужем,3.0,1.0,1.0,1.0,1.0,0.0161290323,1.0,0.0,0.0,0.0,0.25,2.0,6.0,122.0,8.0,0.0,1.0,16.0,104.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Ремонт,0,0.32,мужской,0,0,среднее,рабочий,>250,0.0,339.0,56.0,Торговля,Государственное предприятие,женат / замужем,1.0,1.0,0.0,0.0,0.0,0.0638297872,1.0,0.0,0.0,0.0,0.0,0.0,5.0,88.0,5.0,0.0,3.0,13.0,78.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2НДФЛ,Ремонт,1,0.48,мужской,1,0,Высшее/Второе высшее/Ученая степень,специалист,>250,0.0,75.0,30.0,Другое,ОАО,женат / замужем,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,2.0,2.0,42.0,4.0,1.0,0.0,5.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Ремонт,1,0.39,мужской,1,0,Высшее/Второе высшее/Ученая степень,менеджер среднего звена,<50,0.0,161.0,41.0,Информационные технологии,ООО,женат / замужем,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857143,5.0,2.0,279.0,7.0,0.0,0.0,10.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2НДФЛ,Покупка автомобиля,0,0.44,мужской,0,0,высшее,менеджер среднего звена,>250,0.0,29.0,25.0,Торговля,ЗАО,холост / не замужем,0.0,0.0,0.0,0.0,0.0,0.0512820513,0.0,0.0,0.0,0.0,0.3333333333,1.0,2.0,37.0,3.0,1.0,0.0,21.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2НДФЛ,Покупка недвижимости/ строительство,1,0.21,мужской,1,0,среднее-специальное,менеджер среднего звена,<50,2.0,72.0,29.0,Торговля,ООО,женат / замужем,4.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,1.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Форма банка (без печати работодателя),Ремонт,1,0.46,мужской,0,0,высшее,специалист,>250,0.0,72.0,28.0,Другое,Государственное предприятие,женат / замужем,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3333333333,1.0,2.0,47.0,3.0,0.0,1.0,3.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
